feature,importance
InteriorEquipment_Electricity__kW__Hourly_,0.11437738527047127
InteriorLights_Electricity__kW__Hourly_,0.10742845705574601
Fans_Electricity__kW__Hourly_,0.09334617517510593
Electricity_Facility__kW__Hourly_,0.09163746499418138
Water_Heater_WaterSystems_Gas__kW__Hourly_,0.07425161397611739
InteriorEquipment_Gas__kW__Hourly_,0.05847723523626652
lead_1,0.055683304166556896
lag_1,0.052104627044789305
roll_mean_168,0.042284228748463125
lag_168,0.03683668060396994
roll_std_24,0.032481780721621084
Gas_Facility__kW__Hourly_,0.02969027852958391
lag_24,0.024382185405092963
lead_24,0.02295993117066122
Cooling_Electricity__kW__Hourly_,0.021685241622590553
roll_mean_24_forward,0.02091216313062233
Heating_Gas__kW__Hourly_,0.01923512475510608
roll_mean_24,0.019195930945353965
diff_lead_1,0.015011919041627577
diff_1,0.014518538237136402
Class_SmallOffice,0.008145237823190047
Class_SecondarySchool,0.0059238777727779555
Class_PrimarySchool,0.004783570821217098
Class_Hospital,0.004015636051749851
Class_LargeHotel,0.0038453191727425653
Heating_Electricity__kW__Hourly_,0.003781996810344211
Class_MidriseApartment,0.0033917641207268858
Class_SmallHotel,0.0026899058531633176
Class_QuickServiceRestaurant,0.0026116473126186874
Class_LargeOffice,0.0024023883379232632
Class_OutPatient,0.0023577446901758402
Class_MediumOffice,0.002258545773834744
Class_Warehouse,0.002145935445175052
Class_SuperMarket,0.002039804553444827
Class_Stand-aloneRetail,0.0015587731663751637
Class_StripMall,0.0015475864634764886
